Ac,Aktinium
Ag,Hopea
Al,Alumiini
Am,Amerikium
Ar,Argon
As,Arseeni
At,Astatiini
Au,Kulta
B,Boori
Ba,Barium
Be,Beryllium
Bh,Bohrium
Bi,Vismutti
Bk,Berkelium
Br,Bromi
C,Hiili
Ca,Kalsium
Cd,Kadmium
Ce,Cerium
Cf,Kalifornium
Cl,Kloori
Cm,Curium
Cn,Kopernikium
Co,Koboltti
Cr,Kromi
Cs,Cesium
Cu,Kupari
Db,Dubnium
Ds,Darmstadtium
Dy,Dysprosium
Er,Erbium
Es,Einsteinium
Eu,Europium
F,Fluori
Fe,Rauta
Fl,Flerovium
Fm,Fermium
Fr,Frankium
Ga,Gallium
Gd,Gadolinium
Ge,Germanium
H,Vety
He,Helium
Hf,Hafnium
Hg,Elohopea
Ho,Holmium
Hs,Hassium
I,Jodi
In,Indium
Ir,Iridium
K,Kalium
Kr,Krypton
La,Lantaani
Li,Litium
Lr,Lawrencium
Lu,Lutetium
Lv,Livermorium
Md,Mendelevium
Mg,Magnesium
Mn,Mangaani
Mo,Molybdeeni
Mt,Meitnerium
N,Typpi
Na,Natrium
Nb,Niobium
Nd,Neodyymi
Ne,Neon
Ni,Nikkeli
No,Nobelium
Np,Neptunium
O,Happi
Os,Osmium
P,Fosfori
Pa,Protaktinium
Pb,Lyijy
Pd,Palladium
Pm,Prometium
Po,Polonium
Pr,Praseodyymi
Pt,Platina
Pu,Plutonium
Ra,Radium
Rb,Rubidium
Re,Renium
Rf,Rutherfordium
Rg,Röntgenium
Rh,Rodium
Rn,Radon
Ru,Rutenium
S,Rikki
Sb,Antimoni
Sc,Skandium
Se,Seleeni
Sg,Seaborgium
Si,Pii
Sm,Samarium
Sn,Tina
Sr,Strontium
Ta,Tantaali
Tb,Terbium
Tc,Teknetium
Te,Telluuri
Th,Torium
Ti,Titaani
Tl,Tallium
Tm,Tulium
U,Uraani
Ubn,Unbinilium
Ubu,Unbiunium
Uue,Ununennium
Uuo,Ununoktium
Uup,Ununpentium
Uus,Ununseptium
Uut,Ununtrium
V,Vanadiini
W,Volframi
Xe,Ksenon
Y,Yttrium
Yb,Ytterbium
Zn,Sinkki
Zr,Zirkonium
